,0,1,2,3
0,77.6,136.0,9.65,12.6
1,83.45,177.0,9.76,13.1
2,76.2,164.0,10.52,13.9
3,80.3,185.0,9.76,12.5
4,82.3,187.0,9.77,13.4
5,86.0,171.0,9.25,13.0
6,90.5,211.0,9.75,12.9
7,81.5,158.0,10.38,13.6
8,79.75,176.0,9.31,12.0
9,86.85,175.0,10.23,14.2
10,72.9,139.0,10.29,12.9
11,73.5,124.0,9.68,12.0
12,86.85,149.0,10.33,13.5
13,89.15,224.0,9.7,13.0
14,78.05,149.0,9.63,12.6
15,65.55,166.0,9.29,11.3
16,67.1,132.0,9.52,11.7
17,66.25,173.0,9.88,12.1
18,80.45,155.0,11.19,13.8
19,78.3,202.0,10.78,13.3
20,77.8,155.0,10.86,14.0
21,79.2,161.0,10.68,14.3
22,82.65,158.0,10.64,12.2
23,79.85,156.0,10.83,13.7
24,67.3,157.0,9.78,11.8
25,70.65,173.0,9.97,12.2
26,67.15,159.0,9.99,12.3
27,80.85,160.0,10.47,12.7
28,81.8,162.0,10.87,13.9
29,81.15,178.0,11.07,13.8
